City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Bonthe,SL,79.86,few clouds,7.5264,-12.505,Bonthe Holiday Village
202,Kruisfontein,ZA,69.01,few clouds,-34.0033,24.7314,Oyster Bay House Rental
204,Bullhead City,US,64.99,overcast clouds,35.1478,-114.5683,Harrah's Laughlin
219,Marawi,PH,73.99,clear sky,7.9986,124.2928,Derogongan Residence
223,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
224,Sambava,MG,79.57,overcast clouds,-14.2667,50.1667,Melrose
226,Calama,CL,77.0,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
227,Alugan,PH,78.35,overcast clouds,12.2188,125.4808,JM Lodge
228,Ha Giang,VN,68.09,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
230,Huarmey,PE,75.85,overcast clouds,-10.0681,-78.1522,Hotel Miramar
232,Mayo,US,66.0,mist,38.8876,-76.5119,Resorts Resource Group International
236,Naze,JP,62.28,few clouds,28.3667,129.4833,奄美ポートタワーホテル
239,Manokwari,ID,78.06,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
242,Asyut,EG,62.6,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
245,Madang,PG,75.54,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
246,Vilcun,CL,66.2,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
249,Ballina,AU,62.6,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
250,Constitucion,CL,62.8,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
254,Ranong,TH,76.86,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
258,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
260,Angoche,MZ,77.31,few clouds,-16.2325,39.9086,Guest House HESADA
265,Bubaque,GW,77.47,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
267,Da Nang,VN,77.0,broken clouds,16.0678,108.2208,Sun River Hotel
270,Torrington,US,73.0,few clouds,41.8007,-73.1212,The Yankee Pedlar Inn
272,La Ligua,CL,66.2,clear sky,-32.4524,-71.2311,Hotel Anchimallen
274,Houma,US,77.0,mist,29.5958,-90.7195,Courtyard by Marriott Houma
279,Alice Town,BS,77.47,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
281,Antalaha,MG,79.02,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
283,Ouro Preto Do Oeste,BR,76.42,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
289,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
291,Wanning,CN,72.64,overcast clouds,18.8003,110.3967,Paradise Hotel
293,Komsomolskiy,UZ,68.0,light rain,40.4272,71.7189,Ikathouse
297,Luwuk,ID,77.85,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
302,Moron,AR,70.0,moderate rain,-34.6534,-58.6198,Hotel Morón
308,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
312,Port Hedland,AU,78.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
323,Ancud,CL,62.6,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
327,Luganville,VU,78.1,broken clouds,-15.5333,167.1667,The Espiritu Hotel
332,San-Pedro,CI,79.38,overcast clouds,4.7485,-6.6363,Hotel Maria
334,Kieta,PG,78.62,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
342,Nisia Floresta,BR,77.0,light rain,-6.0911,-35.2086,Rancho Crepusculo
349,Chicama,PE,71.6,fog,-7.8447,-79.1469,Chicama Me Gusta
350,Katobu,ID,75.38,scattered clouds,-4.9408,122.5276,La Ode Husein
352,Koumac,NC,76.62,scattered clouds,-20.5667,164.2833,Le Monitel
353,Sungairaya,ID,75.2,moderate rain,0.7,108.9,Mess P.Milu
360,Mae Hong Son,TH,75.79,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
361,Sur,OM,77.27,clear sky,22.5667,59.5289,Sur Plaza Hotel
362,Kalinagar,IN,66.87,clear sky,28.6167,80.1,कार्यालय नगर पंचायत कलीनगर
363,Bowen,AU,73.4,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
364,Luena,AO,63.41,light rain,-11.7833,19.9167,Hotel Kandamba
368,Vangaindrano,MG,75.36,overcast clouds,-23.35,47.6,Hotel Fanilo
369,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
373,Najran,SA,75.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
374,Makakilo City,US,71.6,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
375,Faya,SA,68.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
377,Xam Nua,LA,61.99,scattered clouds,20.4197,104.0439,Xee Wang Guesthouse
378,Los Llanos De Aridane,ES,71.6,clear sky,28.6585,-17.9182,Valle Aridane
383,Kang,BW,68.61,clear sky,-23.6752,22.7876,Kang Ultra Stop
384,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
386,Boyolangu,ID,75.36,overcast clouds,-8.1181,111.8935,Yos ega cv
390,Santiago,CL,75.0,scattered clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
392,Guerrero Negro,MX,66.31,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
396,Isangel,VU,73.4,few clouds,-19.55,169.2667,Volcano Sea View Tree House
397,Nador,MA,62.6,clear sky,35.174,-2.9287,Hôtel La Giralda
399,Buala,SB,79.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
402,Mount Isa,AU,71.6,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
416,Ridgecrest,US,66.2,scattered clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
418,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Punto de encuentro
421,Hamilton,US,62.01,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
424,Sao Filipe,CV,69.6,scattered clouds,14.8961,-24.4956,Tortuga B&B
425,Broome,US,73.0,clear sky,42.2506,-75.833,Chenango Valley State Park
427,Gimbi,ET,66.9,broken clouds,9.1667,35.8333,Sam home
428,Elat,IL,69.8,clear sky,29.5581,34.9482,Club Hotel Eilat
429,Ambanja,MG,75.25,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
430,Ca Mau,VN,79.65,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
432,Palu,ID,75.81,moderate rain,-0.8917,119.8707,Hotel Santika Palu
433,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
436,Ahvaz,IR,73.4,dust,31.3203,48.6693,tashrifat tourism travel agency
438,Wuan,CN,60.78,broken clouds,31.6836,112.0044,武镇大酒店
441,Nchelenge,ZM,72.43,light rain,-9.3451,28.734,KD Travellers Home
447,Vanimo,PG,77.72,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
450,Almeria,ES,61.0,clear sky,37.1667,-2.3333,Casa Rural El Laurel
451,Mercedes,AR,72.0,light rain,-34.6515,-59.4307,Posada del Inti Centro
455,Flinders,AU,62.01,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
456,Charlestown,AU,64.0,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
457,Bilma,NE,73.76,clear sky,18.6853,12.9164,Expeditions Ténére voyages
460,Mareeba,AU,78.8,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
464,Martapura,ID,77.0,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
468,Dicabisagan,PH,76.14,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
470,Nabire,ID,75.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
471,Playas,EC,77.85,broken clouds,-2.6333,-80.3833,Hostal Promenade
480,Pangkalanbuun,ID,74.62,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
481,Totness,SR,79.86,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
487,Comodoro Rivadavia,AR,78.8,clear sky,-45.8667,-67.5,Hotel del Mar
495,Muriwai Beach,NZ,63.0,clear sky,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
499,Lewistown,US,66.2,haze,40.5992,-77.5714,Quality Inn & Suites
500,Tebingtinggi,ID,75.2,scattered clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
506,Gbarnga,LR,79.2,broken clouds,6.9956,-9.4722,Passion Hotel 2
507,Tezpur,IN,69.51,clear sky,26.6333,92.8,Hotel Kanyapur
508,Tezu,IN,73.58,overcast clouds,27.9167,96.1667,Circuit House
517,Payo,ID,72.61,overcast clouds,-3.7508,103.6372,Mess keban agung
521,Paragominas,BR,72.32,overcast clouds,-2.9667,-47.4833,.
522,Kiama,AU,62.01,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
525,Honiara,SB,76.69,scattered clouds,-9.4333,159.95,Heritage Park Hotel
531,Hickory,US,61.0,moderate rain,35.7332,-81.3412,Crowne Plaza Hickory
535,Hualmay,PE,75.24,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
537,Nsanje,MW,75.96,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
540,Hambantota,LK,78.78,overcast clouds,6.1241,81.1185,Bungalow 63
542,Alofi,NU,78.8,few clouds,-19.0595,-169.9187,Taloa Heights
545,Aden,YE,79.54,few clouds,12.7794,45.0367,Sama Emirate Hotel
549,San Quintin,MX,60.55,overcast clouds,30.4833,-115.95,Old Mill Hotel
551,Sao Felix Do Xingu,BR,77.79,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
552,Luau,AO,64.22,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
554,Owando,CG,70.09,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
559,Ahuimanu,US,73.4,moderate rain,21.4447,-157.8378,Paradise Bay Resort
560,Berbera,SO,77.59,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
565,Carutapera,BR,74.64,moderate rain,-1.195,-46.02,Lidera
570,Malabo,GQ,78.8,scattered clouds,3.75,8.7833,Hostal Residencia Morenita
571,Rujewa,TZ,65.66,moderate rain,-8.7,34.3833,Mafanikio Inn Lodge
572,Sattenapalle,IN,78.49,overcast clouds,16.4,80.1833,Subhani hot hot tiffen ceanter
579,Along,IN,63.54,broken clouds,28.1667,94.7667,Hotel West
582,Oudtshoorn,ZA,66.2,clear sky,-33.5907,22.2014,Earthbound Guest House
583,San Antonio,US,77.0,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
585,Cadiz,ES,64.4,clear sky,36.5,-5.75,Hacienda Barriche
587,Noumea,NC,75.2,clear sky,-22.2763,166.4572,Hôtel Le Lagon
588,Lumphat,KH,77.02,scattered clouds,13.4878,106.9816,Lumphat Homestay
589,Garowe,SO,72.81,clear sky,8.4054,48.4845,Curubo Hotel
591,Yei,SS,77.86,broken clouds,4.095,30.6779,City Link Hotel
596,Rocha,UY,67.69,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
597,Cuamba,MZ,67.46,clear sky,-14.8031,36.5372,Hotel Vision
599,La Asuncion,VE,79.68,clear sky,11.0333,-63.8628,Colinas de Matasiete
603,General Roca,AR,66.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
605,Vila Do Maio,CV,71.6,few clouds,15.1333,-23.2167,Residence 'I Delfini'
608,Kattivakkam,IN,78.8,mist,13.2167,80.3167,Raj's villa
609,Pierre,US,60.01,clear sky,44.3683,-100.351,Ramkota Hotel
610,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
614,San Juan,AR,70.75,scattered clouds,-31.5375,-68.5364,Hotel Provincial
615,Mecca,SA,78.17,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
617,Khash,IR,66.79,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
618,Guiyang,CN,60.8,overcast clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
619,Picayune,US,78.01,overcast clouds,30.5255,-89.6795,Holiday Inn Express & Suites Picayune
620,Allanridge,ZA,60.01,clear sky,-27.7543,26.6438,The Hatchery
624,Basco,PH,74.32,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
625,Abha,SA,68.0,clear sky,18.2164,42.5053,Abha Hotel
627,Borazjan,IR,73.4,few clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
628,Bengkulu,ID,76.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
629,Simao,CN,62.01,clear sky,22.7886,100.9748,Changyu Hotel
630,Ixtapa,MX,77.0,few clouds,20.7,-105.2,Hotel Plaza Providencia
633,Mastung,PK,64.42,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
639,Lhokseumawe,ID,77.0,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
642,Rio Gallegos,AR,64.4,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
644,Ariquemes,BR,76.75,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
646,Cockburn Town,TC,77.61,clear sky,21.4612,-71.1419,Osprey Beach Hotel
650,Labuan,MY,77.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
655,Mancio Lima,BR,77.0,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
656,Manggar,ID,77.4,overcast clouds,-2.8833,108.2667,Guest Hotel
657,Mpulungu,ZM,73.0,overcast clouds,-8.7623,31.1141,Nhkupi Lodge
