City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ilulissat,GL,2021-03-23 14:10:11,69.2167,-51.1,-4.0,92,90,20.71
67,Thompson,CA,2021-03-23 14:10:11,55.7435,-97.8558,-11.2,70,1,6.91
68,Kodiak,US,2021-03-23 14:10:11,57.79,-152.4072,33.8,75,90,11.5
69,Carnarvon,AU,2021-03-23 14:10:11,-24.8667,113.6333,75.2,73,0,20.71
70,Port Alfred,ZA,2021-03-23 14:10:12,-33.5906,26.891,73.78,63,10,19.86
71,Collie,AU,2021-03-23 14:10:12,-33.3667,116.15,51.01,83,0,5.32
72,Nauta,PE,2021-03-23 14:10:12,-4.5061,-73.5757,78.64,82,97,0.49
73,Tateyama,JP,2021-03-23 14:07:09,34.9833,139.8667,55.99,59,1,3.0
74,Port Hedland,AU,2021-03-23 14:10:13,-20.3167,118.5667,78.8,73,50,6.91
75,Upernavik,GL,2021-03-23 14:10:13,72.7868,-56.1549,-10.46,87,100,1.19
76,Chokurdakh,RU,2021-03-23 14:10:13,70.6333,147.9167,-10.3,94,100,13.96
77,Biltine,TD,2021-03-23 14:10:13,14.5333,20.9167,104.97,8,16,5.68
78,Lebu,CL,2021-03-23 14:10:13,-37.6167,-73.65,59.13,69,77,7.99
79,Hithadhoo,MV,2021-03-23 14:10:14,-0.6,73.0833,84.06,66,8,7.9
80,Sur,OM,2021-03-23 14:10:14,22.5667,59.5289,83.03,46,0,10.6
81,Mecca,SA,2021-03-23 14:10:14,21.4267,39.8261,94.64,14,0,27.45
82,Baijiantan,CN,2021-03-23 14:10:15,45.6333,85.1833,45.1,48,100,3.47
83,Longyearbyen,SJ,2021-03-23 14:10:15,78.2186,15.6401,24.8,68,90,13.8
84,Tasiilaq,GL,2021-03-23 14:10:15,65.6145,-37.6368,19.4,49,75,4.61
85,Sao Filipe,CV,2021-03-23 14:10:15,14.8961,-24.4956,71.06,72,7,7.87
86,Ancud,CL,2021-03-23 14:10:16,-41.8697,-73.8203,62.01,100,75,6.91
87,Awjilah,LY,2021-03-23 14:10:16,29.1081,21.2869,69.87,18,0,25.05
88,Ribeira Grande,PT,2021-03-23 14:10:16,38.5167,-28.7,60.8,55,40,16.11
89,Ponta Do Sol,PT,2021-03-23 14:10:16,32.6667,-17.1,66.2,48,40,9.22
90,Koslan,RU,2021-03-23 14:10:17,63.4564,48.8989,26.87,83,68,5.39
91,Sirnak,TR,2021-03-23 14:10:17,37.5228,42.4594,55.4,100,75,11.5
92,Maple Creek,CA,2021-03-23 14:10:17,49.9168,-109.4848,28.4,86,100,13.8
93,Lata,PT,2021-03-23 14:10:17,40.1629,-8.3327,73.99,42,1,7.31
94,Qaanaaq,GL,2021-03-23 14:10:18,77.484,-69.3632,-14.28,65,35,7.31
95,Mar Del Plata,AR,2021-03-23 14:08:44,-38.0023,-57.5575,62.6,100,20,6.91
96,Sitka,US,2021-03-23 14:10:18,57.0531,-135.33,39.2,81,90,17.27
97,Kamyshevatskaya,RU,2021-03-23 14:10:18,46.4132,37.9563,41.58,66,100,10.04
98,Kattivakkam,IN,2021-03-23 14:10:18,13.2167,80.3167,82.4,69,20,9.22
99,Yuanping,CN,2021-03-23 14:10:19,38.7153,112.7575,45.86,50,3,3.67
100,Bethel,US,2021-03-23 14:10:19,41.3712,-73.414,50.0,57,1,0.92
101,Altay,CN,2021-03-23 14:10:19,47.8667,88.1167,37.94,56,100,7.74
102,Las Vegas,US,2021-03-23 14:06:48,36.175,-115.1372,51.8,54,40,13.8
103,Arlington,US,2021-03-23 14:10:19,32.7357,-97.1081,54.0,66,1,5.75
104,Fort Nelson,CA,2021-03-23 14:10:20,58.8053,-122.7002,5.0,78,90,6.91
105,Tuktoyaktuk,CA,2021-03-23 14:10:20,69.4541,-133.0374,-11.2,77,1,21.85
106,Hermanus,ZA,2021-03-23 14:10:20,-34.4187,19.2345,81.0,58,0,8.99
107,Saint Anthony,US,2021-03-23 14:10:21,45.0205,-93.218,45.0,70,90,8.05
108,Kangundo,KE,2021-03-23 14:10:21,-1.2979,37.3471,82.4,34,40,17.27
109,Mataura,NZ,2021-03-23 14:10:21,-46.1927,168.8643,54.0,98,100,1.63
110,Bonfim,BR,2021-03-23 14:10:21,3.0833,-59.95,87.19,52,47,8.66
111,Atar,MR,2021-03-23 14:10:22,20.5169,-13.0499,94.19,6,0,9.33
112,Chapais,CA,2021-03-23 14:10:22,49.7834,-74.8492,37.4,81,90,6.91
113,Kannangad,IN,2021-03-23 14:10:22,12.3081,75.1063,82.83,72,4,5.01
114,Torbay,CA,2021-03-23 14:10:22,47.6666,-52.7314,46.4,42,20,21.85
115,Georgetown,MY,2021-03-23 14:08:54,5.4112,100.3354,80.01,94,40,4.21
